gt_source,gt_target,pred_source,pred_target,count
Soy,Soy,Oilseeds (Rapeseed),Sunflower,2
Sunflower,Sunflower,Diffuse built-up area,Soy,2
Sunflower,Sunflower,Grasslands,Sunflower,2
Corn,Corn,Industrial and commercial areas,Orchards and fruit growing,2
Sunflower,Sunflower,Industrial and commercial areas,Woody moorlands,2
Corn,Corn,Industrial and commercial areas,Softwood forest,2
Soy,Soy,Diffuse built-up area,Corn,2
Soy,Soy,Corn,Vineyards,2
Corn,Corn,Oilseeds (Rapeseed),Industrial and commercial areas,2
Dense built-up area,Dense built-up area,Diffuse built-up area,Hardwood forest,2
Natural grasslands and pastures,Natural grasslands and pastures,Water,Vineyards,2
Roads,Roads,Vineyards,Woody moorlands,2
Softwood forest,Softwood forest,Diffuse built-up area,Soy,2
Industrial and commercial areas,Industrial and commercial areas,Roads,"Straw cereals (Wheat, Triticale, Barley)",2
Softwood forest,Softwood forest,Diffuse built-up area,Vineyards,2
Industrial and commercial areas,Industrial and commercial areas,Roads,Sunflower,2
Corn,Corn,Orchards and fruit growing,Soy,2
Dense built-up area,Dense built-up area,Woody moorlands,Orchards and fruit growing,2
Dense built-up area,Dense built-up area,Woody moorlands,Sunflower,2
Vineyards,Vineyards,Softwood forest,Sunflower,2
Softwood forest,Softwood forest,Industrial and commercial areas,Water,2
Vineyards,Vineyards,Roads,Sunflower,2
Dense built-up area,Dense built-up area,Sunflower,Soy,2
Diffuse built-up area,Diffuse built-up area,Diffuse built-up area,Corn,2
Corn,Corn,Soy,Softwood forest,2
Vineyards,Vineyards,Roads,Industrial and commercial areas,2
Hardwood forest,Hardwood forest,Soy,Sunflower,2
Vineyards,Vineyards,Sunflower,Softwood forest,2
Diffuse built-up area,Diffuse built-up area,Diffuse built-up area,Roads,2
Natural grasslands and pastures,Natural grasslands and pastures,Vineyards,Industrial and commercial areas,2
Softwood forest,Softwood forest,Natural grasslands and pastures,Sunflower,2
Industrial and commercial areas,Industrial and commercial areas,Roads,Woody moorlands,2
Roads,Roads,Sunflower,Orchards and fruit growing,2
Roads,Roads,Sunflower,Softwood forest,2
Dense built-up area,Dense built-up area,Sunflower,Corn,2
Woody moorlands,Woody moorlands,Oilseeds (Rapeseed),Soy,1
Natural grasslands and pastures,Natural grasslands and pastures,Diffuse built-up area,Orchards and fruit growing,1
Corn,Corn,Hardwood forest,Corn,1
Woody moorlands,Woody moorlands,Vineyards,Diffuse built-up area,1
Natural grasslands and pastures,Natural grasslands and pastures,Diffuse built-up area,Soy,1
Natural grasslands and pastures,Natural grasslands and pastures,Woody moorlands,Sunflower,1
Water,Water,Woody moorlands,Roads,1
Corn,Corn,Orchards and fruit growing,Sunflower,1
Industrial and commercial areas,Industrial and commercial areas,Water,Hardwood forest,1
Dense built-up area,Dense built-up area,Dense built-up area,"Straw cereals (Wheat, Triticale, Barley)",1
Water,Water,Woody moorlands,Natural grasslands and pastures,1
Industrial and commercial areas,Industrial and commercial areas,Soy,Oilseeds (Rapeseed),1
Natural grasslands and pastures,Natural grasslands and pastures,Woody moorlands,"Straw cereals (Wheat, Triticale, Barley)",1
Natural grasslands and pastures,Natural grasslands and pastures,Diffuse built-up area,Hardwood forest,1
Dense built-up area,Dense built-up area,Dense built-up area,Roads,1
Industrial and commercial areas,Industrial and commercial areas,Woody moorlands,Soy,1
Industrial and commercial areas,Industrial and commercial areas,Oilseeds (Rapeseed),Protein crops (Beans / Peas),1
Orchards and fruit growing,Orchards and fruit growing,Industrial and commercial areas,Protein crops (Beans / Peas),1
Woody moorlands,Woody moorlands,Water,Soy,1
Industrial and commercial areas,Industrial and commercial areas,Water,Roads,1
Woody moorlands,Woody moorlands,Water,Vineyards,1
Industrial and commercial areas,Industrial and commercial areas,Protein crops (Beans / Peas),Corn,1
Woody moorlands,Woody moorlands,Protein crops (Beans / Peas),Industrial and commercial areas,1
Woody moorlands,Woody moorlands,Sunflower,Soy,1
Woody moorlands,Woody moorlands,Grasslands,Sunflower,1
Corn,Corn,Sunflower,Vineyards,1
Oilseeds (Rapeseed),Oilseeds (Rapeseed),Industrial and commercial areas,Sunflower,1
Industrial and commercial areas,Industrial and commercial areas,Protein crops (Beans / Peas),Oilseeds (Rapeseed),1
Natural grasslands and pastures,Natural grasslands and pastures,Orchards and fruit growing,Water,1
Oilseeds (Rapeseed),Oilseeds (Rapeseed),"Straw cereals (Wheat, Triticale, Barley)",Diffuse built-up area,1
Natural grasslands and pastures,Natural grasslands and pastures,Roads,Industrial and commercial areas,1
Oilseeds (Rapeseed),Oilseeds (Rapeseed),"Straw cereals (Wheat, Triticale, Barley)",Sunflower,1
Orchards and fruit growing,Orchards and fruit growing,Corn,Sunflower,1
Woody moorlands,Woody moorlands,Industrial and commercial areas,Soy,1
Industrial and commercial areas,Industrial and commercial areas,Softwood forest,Oilseeds (Rapeseed),1
Natural grasslands and pastures,Natural grasslands and pastures,Sunflower,Softwood forest,1
Oilseeds (Rapeseed),Oilseeds (Rapeseed),Vineyards,"Straw cereals (Wheat, Triticale, Barley)",1
Corn,Corn,Oilseeds (Rapeseed),Soy,1
Woody moorlands,Woody moorlands,Softwood forest,Soy,1
Orchards and fruit growing,Orchards and fruit growing,Diffuse built-up area,Protein crops (Beans / Peas),1
Natural grasslands and pastures,Natural grasslands and pastures,Vineyards,Softwood forest,1
Woody moorlands,Woody moorlands,Natural grasslands and pastures,Orchards and fruit growing,1
Corn,Corn,Natural grasslands and pastures,Corn,1
Woody moorlands,Woody moorlands,"Straw cereals (Wheat, Triticale, Barley)",Softwood forest,1
Corn,Corn,Woody moorlands,Vineyards,1
Corn,Corn,Industrial and commercial areas,Vineyards,1
Natural grasslands and pastures,Natural grasslands and pastures,Vineyards,Woody moorlands,1
Woody moorlands,Woody moorlands,Roads,Diffuse built-up area,1
Woody moorlands,Woody moorlands,"Straw cereals (Wheat, Triticale, Barley)",Water,1
Woody moorlands,Woody moorlands,Diffuse built-up area,Natural grasslands and pastures,1
Natural grasslands and pastures,Natural grasslands and pastures,Orchards and fruit growing,Diffuse built-up area,1
Natural grasslands and pastures,Natural grasslands and pastures,Natural grasslands and pastures,Orchards and fruit growing,1
Woody moorlands,Woody moorlands,Corn,Orchards and fruit growing,1
Oilseeds (Rapeseed),Oilseeds (Rapeseed),Industrial and commercial areas,Oilseeds (Rapeseed),1
Natural grasslands and pastures,Natural grasslands and pastures,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",1
Industrial and commercial areas,Industrial and commercial areas,Soy,Hardwood forest,1
Corn,Corn,Natural grasslands and pastures,Sunflower,1
Soy,Soy,"Straw cereals (Wheat, Triticale, Barley)",Corn,1
Orchards and fruit growing,Orchards and fruit growing,Oilseeds (Rapeseed),Grasslands,1
Sunflower,Sunflower,Softwood forest,Industrial and commercial areas,1
Sunflower,Sunflower,Soy,Orchards and fruit growing,1
Hardwood forest,Hardwood forest,Hardwood forest,Vineyards,1
Softwood forest,Softwood forest,Woody moorlands,Natural grasslands and pastures,1
Sunflower,Sunflower,"Straw cereals (Wheat, Triticale, Barley)",Industrial and commercial areas,1
Sunflower,Sunflower,Sunflower,Hardwood forest,1
Softwood forest,Softwood forest,Vineyards,Oilseeds (Rapeseed),1
Diffuse built-up area,Diffuse built-up area,Industrial and commercial areas,Softwood forest,1
Sunflower,Sunflower,Sunflower,Orchards and fruit growing,1
Sunflower,Sunflower,Vineyards,"Straw cereals (Wheat, Triticale, Barley)",1
Softwood forest,Softwood forest,Vineyards,Corn,1
Sunflower,Sunflower,Woody moorlands,Orchards and fruit growing,1
Diffuse built-up area,Diffuse built-up area,Industrial and commercial areas,Dense built-up area,1
Softwood forest,Softwood forest,"Straw cereals (Wheat, Triticale, Barley)",Sunflower,1
Vineyards,Vineyards,Corn,Oilseeds (Rapeseed),1
Diffuse built-up area,Diffuse built-up area,Hardwood forest,Industrial and commercial areas,1
Hardwood forest,Hardwood forest,Oilseeds (Rapeseed),Corn,1
Diffuse built-up area,Diffuse built-up area,Diffuse built-up area,Vineyards,1
Hardwood forest,Hardwood forest,Orchards and fruit growing,Corn,1
Softwood forest,Softwood forest,Orchards and fruit growing,Natural grasslands and pastures,1
Vineyards,Vineyards,Diffuse built-up area,Woody moorlands,1
Vineyards,Vineyards,Grasslands,Vineyards,1
Vineyards,Vineyards,Hardwood forest,Soy,1
Diffuse built-up area,Diffuse built-up area,Diffuse built-up area,Soy,1
Hardwood forest,Hardwood forest,Orchards and fruit growing,Soy,1
Diffuse built-up area,Diffuse built-up area,Diffuse built-up area,Orchards and fruit growing,1
Diffuse built-up area,Diffuse built-up area,Diffuse built-up area,Oilseeds (Rapeseed),1
Diffuse built-up area,Diffuse built-up area,Dense built-up area,Industrial and commercial areas,1
Softwood forest,Softwood forest,Industrial and commercial areas,Hardwood forest,1
Softwood forest,Softwood forest,Hardwood forest,Industrial and commercial areas,1
Sunflower,Sunflower,Softwood forest,Orchards and fruit growing,1
Sunflower,Sunflower,Softwood forest,Grasslands,1
Softwood forest,Softwood forest,Grasslands,Corn,1
Soy,Soy,Corn,Oilseeds (Rapeseed),1
Diffuse built-up area,Diffuse built-up area,Sunflower,Soy,1
Diffuse built-up area,Diffuse built-up area,Soy,Industrial and commercial areas,1
Soy,Soy,Sunflower,Orchards and fruit growing,1
Soy,Soy,Sunflower,Softwood forest,1
Diffuse built-up area,Diffuse built-up area,Soy,Diffuse built-up area,1
Diffuse built-up area,Diffuse built-up area,Softwood forest,Woody moorlands,1
Soy,Soy,Soy,Diffuse built-up area,1
Soy,Soy,Vineyards,Softwood forest,1
Soy,Soy,Softwood forest,Orchards and fruit growing,1
Soy,Soy,Roads,Industrial and commercial areas,1
"Straw cereals (Wheat, Triticale, Barley)","Straw cereals (Wheat, Triticale, Barley)",Grasslands,Diffuse built-up area,1
"Straw cereals (Wheat, Triticale, Barley)","Straw cereals (Wheat, Triticale, Barley)",Industrial and commercial areas,Diffuse built-up area,1
"Straw cereals (Wheat, Triticale, Barley)","Straw cereals (Wheat, Triticale, Barley)",Industrial and commercial areas,Orchards and fruit growing,1
Soy,Soy,Orchards and fruit growing,Woody moorlands,1
Soy,Soy,Orchards and fruit growing,Roads,1
"Straw cereals (Wheat, Triticale, Barley)","Straw cereals (Wheat, Triticale, Barley)","Straw cereals (Wheat, Triticale, Barley)",Orchards and fruit growing,1
"Straw cereals (Wheat, Triticale, Barley)","Straw cereals (Wheat, Triticale, Barley)","Straw cereals (Wheat, Triticale, Barley)",Soy,1
Soy,Soy,Orchards and fruit growing,Oilseeds (Rapeseed),1
Sunflower,Sunflower,Corn,Soy,1
Soy,Soy,Orchards and fruit growing,Corn,1
Diffuse built-up area,Diffuse built-up area,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",1
Sunflower,Sunflower,Industrial and commercial areas,Diffuse built-up area,1
Sunflower,Sunflower,Industrial and commercial areas,Hardwood forest,1
Soy,Soy,Industrial and commercial areas,Oilseeds (Rapeseed),1
Soy,Soy,Industrial and commercial areas,Corn,1
Sunflower,Sunflower,Natural grasslands and pastures,Industrial and commercial areas,1
Sunflower,Sunflower,Oilseeds (Rapeseed),Orchards and fruit growing,1
Hardwood forest,Hardwood forest,Grasslands,Industrial and commercial areas,1
Sunflower,Sunflower,Protein crops (Beans / Peas),Soy,1
Softwood forest,Softwood forest,Grasslands,Hardwood forest,1
Dense built-up area,Dense built-up area,Water,Industrial and commercial areas,1
Orchards and fruit growing,Orchards and fruit growing,Oilseeds (Rapeseed),Soy,1
Roads,Roads,Grasslands,Industrial and commercial areas,1
Roads,Roads,Diffuse built-up area,Soy,1
Roads,Roads,Diffuse built-up area,Softwood forest,1
Water,Water,Industrial and commercial areas,Vineyards,1
Roads,Roads,Diffuse built-up area,Hardwood forest,1
Water,Water,Natural grasslands and pastures,Orchards and fruit growing,1
Water,Water,Natural grasslands and pastures,Soy,1
Hardwood forest,Hardwood forest,Water,Sunflower,1
Water,Water,Oilseeds (Rapeseed),Corn,1
Hardwood forest,Hardwood forest,Water,Vineyards,1
Orchards and fruit growing,Orchards and fruit growing,Vineyards,Water,1
Orchards and fruit growing,Orchards and fruit growing,Vineyards,Sunflower,1
Hardwood forest,Hardwood forest,Woody moorlands,Vineyards,1
Orchards and fruit growing,Orchards and fruit growing,Sunflower,Softwood forest,1
Orchards and fruit growing,Orchards and fruit growing,Sunflower,Protein crops (Beans / Peas),1
Industrial and commercial areas,Industrial and commercial areas,Corn,Oilseeds (Rapeseed),1
Dense built-up area,Dense built-up area,Industrial and commercial areas,Woody moorlands,1
Water,Water,Roads,Industrial and commercial areas,1
Water,Water,Softwood forest,Corn,1
Industrial and commercial areas,Industrial and commercial areas,Diffuse built-up area,Natural grasslands and pastures,1
Dense built-up area,Dense built-up area,Industrial and commercial areas,Protein crops (Beans / Peas),1
Orchards and fruit growing,Orchards and fruit growing,Soy,Water,1
Water,Water,Soy,"Straw cereals (Wheat, Triticale, Barley)",1
Water,Water,"Straw cereals (Wheat, Triticale, Barley)",Hardwood forest,1
Orchards and fruit growing,Orchards and fruit growing,Protein crops (Beans / Peas),Sunflower,1
Industrial and commercial areas,Industrial and commercial areas,Grasslands,Oilseeds (Rapeseed),1
Water,Water,"Straw cereals (Wheat, Triticale, Barley)",Woody moorlands,1
Industrial and commercial areas,Industrial and commercial areas,Grasslands,Orchards and fruit growing,1
Industrial and commercial areas,Industrial and commercial areas,Industrial and commercial areas,Grasslands,1
Orchards and fruit growing,Orchards and fruit growing,Oilseeds (Rapeseed),Woody moorlands,1
Water,Water,Industrial and commercial areas,Soy,1
Water,Water,Industrial and commercial areas,Corn,1
Softwood forest,Softwood forest,Diffuse built-up area,Water,1
Water,Water,Hardwood forest,Industrial and commercial areas,1
Roads,Roads,Woody moorlands,"Straw cereals (Wheat, Triticale, Barley)",1
Vineyards,Vineyards,Softwood forest,Natural grasslands and pastures,1
Roads,Roads,Woody moorlands,Soy,1
Roads,Roads,Woody moorlands,Hardwood forest,1
Vineyards,Vineyards,"Straw cereals (Wheat, Triticale, Barley)",Diffuse built-up area,1
Hardwood forest,Hardwood forest,Softwood forest,Woody moorlands,1
Dense built-up area,Dense built-up area,"Straw cereals (Wheat, Triticale, Barley)",Orchards and fruit growing,1
Vineyards,Vineyards,Sunflower,Protein crops (Beans / Peas),1
Roads,Roads,Sunflower,Hardwood forest,1
Dense built-up area,Dense built-up area,"Straw cereals (Wheat, Triticale, Barley)",Dense built-up area,1
Dense built-up area,Dense built-up area,Soy,Sunflower,1
Roads,Roads,Soy,Woody moorlands,1
Roads,Roads,Soy,Sunflower,1
Dense built-up area,Dense built-up area,Softwood forest,Vineyards,1
Dense built-up area,Dense built-up area,Softwood forest,Diffuse built-up area,1
Vineyards,Vineyards,Water,Softwood forest,1
Vineyards,Vineyards,Woody moorlands,Oilseeds (Rapeseed),1
Roads,Roads,Roads,Corn,1
Water,Water,Corn,Industrial and commercial areas,1
Water,Water,Corn,Orchards and fruit growing,1
Diffuse built-up area,Diffuse built-up area,Sunflower,Orchards and fruit growing,1
Water,Water,Corn,Sunflower,1
Hardwood forest,Hardwood forest,Sunflower,Protein crops (Beans / Peas),1
Roads,Roads,Orchards and fruit growing,Hardwood forest,1
Water,Water,Diffuse built-up area,Soy,1
Water,Water,Diffuse built-up area,"Straw cereals (Wheat, Triticale, Barley)",1
Dense built-up area,Dense built-up area,Orchards and fruit growing,Hardwood forest,1
Corn,Corn,Corn,Hardwood forest,1
Water,Water,Grasslands,Sunflower,1
Hardwood forest,Hardwood forest,Sunflower,Oilseeds (Rapeseed),1
